id,title,abstract,authors,year,venue,search_strings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"57,kS-LLM: k-Step based Automatic LLM Test Case Generator using Caching Mechanism to Achieve Higher Code Coverage,""As software systems grow increasingly complex, they become more prone to instability. Performing rigorous testing before deploying these software systems in the production environment is necessary and important. Existing test case generation techniques rely on randomness or manual effort, leading to low code coverage and uncovered edge cases. To address this issue, we propose the k-step Large Language Model (kS-LLM), which takes a program and generates test cases via a k-step refinement process. Furthermore, we employed a caching mechanism to avoid the generation of duplicate test cases. GCOV-based is incorporated to obtain line and branch coverage analysis. kS-LLM is equipped with feedback, in which test cases generated in previous iterations are used as input for subsequent iterations. The process continues until either a predefined coverage threshold is reached or the maximum number of iterations is exceeded. We validated the proposed on 160 C-programs. Experimental results demonstrate that kS-LLM is more effective than traditional test generation techniques achieving 9.86% higher line coverage and 10.74% higher branch coverage than C Bound Model Checker (CBMC) while reducing manual effort."",""Sharma, Anand"; Vivek, Yelleti; Godboley, Sangharatna;" Krishna, P. Radha"",2026,Proceedings of the 19th Innovations in Software Engineering Conference,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"58,LLM-based and Retrieval-Augmented Control Code Generation,""Control code is designed and implemented for industrial automation applications that manage power plants, petrochemical processes, or steel production. Popular large language models (LLM) can synthesize low-level control code in the Structured Text programming notation according to the standard IEC 61131-3, but are not aware of proprietary control code function block libraries, which are often used in practice. To automate control logic implementation tasks, we proposed a retrieval-augmented control code generation method that can integrate such function blocks into the generated code. With this method control engineers can benefit from the code generation capabilities of LLMs, re-use proprietary and well-tested function blocks, and speed up typical programming tasks significantly. We have evaluated the method using a prototypical implementation based on GPT-4, LangChain, Open-PLC, and the open-source OSCAT function block library. In several spot sample tests, we successfully generated IEC 61131-3 ST code that integrated the desired function blocks, could be compiled, and validated through simulations."",""Koziolek, Heiko"; Grüner, Sten; Hark, Rhaban; Ashiwal, Virendra; Linsbauer, Sofia;" Eskandani, Nafise"",2024,Proceedings of the 1st International Workshop on Large Language Models for Code,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"59,Practical LLM-Based Function-Level Automated Program Repair: How Far Are We?,""Recently, multiple Automated Program Repair (APR) techniques based on Large Language Models (LLMs) have been proposed to enhance the repair performance. While these techniques mainly focus on the single-line or hunk-level repair, they face significant challenges in real-world applications due to the limited repair task scope and costly statement-level fault localization. However, the more practical function-level APR, which broadens the scope of APR task to fix entire buggy functions and requires only cost-efficient function-level fault localization, remains underexplored.In this paper, we conduct a comprehensive study of LLM-based function-level APR including investigating the effect of the few-shot learning mechanism and the auxiliary repair-relevant information. Specifically, we adopt six widely-studied LLMs and construct a benchmark on both the Defects4J 1.2 and 2.0 datasets. Our study demonstrates that LLMs with zero-shot learning are already powerful function-level APR techniques, while applying the few-shot learning mechanism leads to disparate repair performance. Moreover, we find that directly applying the auxiliary repair-relevant information to LLMs significantly increases function-level repair performance and even outperforms multiple recent APR techniques. Inspired by our findings, we propose an LLM-based function-level APR technique, namely SRepair, which adopts a dual-LLM framework to leverage the power of the auxiliary repair-relevant information for advancing the repair performance. The evaluation results demonstrate that SRepair can correctly fix 227 single-function bugs in the Defects4J dataset, largely surpassing all previous APR techniques by at least 26%, without the need for the costly statement-level fault location information. Furthermore, SRepair successfully fixes 21 multi-function bugs in the Defects4J dataset, significantly outperforming other state-of-the-art APR techniques."",""Xiang, Jiahong"; Xu, Xiaoyang; Kong, Fanchu; Wu, Mingyuan; Zhan, Zizheng; Zhang, Haotian;" Zhang, Yuqun"",,ACM Transactions on Software Engineering and Methodology,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"60,Aligning the Objective of LLM-Based Program Repair,""Large language models (LLMs) have achieved decent results on automated program repair (APR). However, the next token prediction training objective of decoder-only LLMs (e.g., GPT-4) is misaligned with the masked span prediction objective of current infilling-style methods, which impedes LLMs from fully leveraging pre-trained knowledge for program repair. In addition, while some LLMs can locate and repair bugs in certain functions using the related artifacts (e.g., test cases), existing methods still depend on statement-level fault localization methods to provide a list of buggy hunks for repair. This restriction hinders LLMs from exploring potential patches beyond the given locations.In this paper, we investigate a new approach to adapt LLMs to program repair. Our core insight is that LLM's APR capability can be greatly improved by simply aligning the output to their training objective and allowing them to refine the whole program without first identifying faulty statements. Based on this insight, we designed D4C, a straightforward prompting framework for APR. D4C can repair 180 bugs correctly in Defects4J, with each patch being sampled only 10 times. This surpasses the SOTA APR methods with perfect fault localization by 10% and reduces the patch sampling number by 90%. Our findings reveal that (1) objective alignment is crucial for fully exploiting LLM's pre-trained capability, and (2) replacing the traditional localize-buggy-hunks-then-repair workflow with direct debugging is more effective for LLM-based APR methods. Thus, we believe this paper introduces a new mindset for harnessing LLMs in APR."",""Xu, Junjielong"; Fu, Ying; Tan, Shin Hwei;" He, Pinjia"",2025,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"61,ClarifyGPT: A Framework for Enhancing LLM-Based Code Generation via Requirements Clarification,""Large Language Models (LLMs), such as ChatGPT, have demonstrated impressive capabilities in automatically generating code from provided natural language requirements. However, in real-world practice, it is inevitable that the requirements written by users might be ambiguous or insufficient. Current LLMs will directly generate programs according to those unclear requirements, regardless of interactive clarification, which will likely deviate from the original user intents. To bridge that gap, we introduce a novel framework named ClarifyGPT, which aims to enhance code generation by empowering LLMs with the ability to identify ambiguous requirements and ask targeted clarifying questions. Specifically, ClarifyGPT first detects whether a given requirement is ambiguous by performing a code consistency check. If it is ambiguous, ClarifyGPT prompts an LLM to generate targeted clarifying questions. After receiving question responses, ClarifyGPT refines the ambiguous requirement and inputs it into the same LLM to generate a final code solution. To evaluate our ClarifyGPT, we invite ten participants to use ClarifyGPT for code generation on two benchmarks: MBPP-sanitized and MBPP-ET. The results show that ClarifyGPT elevates the performance (Pass@1) of GPT-4 from 70.96% to 80.80% on MBPP-sanitized. Furthermore, to conduct large-scale automated evaluations of ClarifyGPT across different LLMs and benchmarks without requiring user participation, we introduce a high-fidelity simulation method to simulate user responses. The results demonstrate that ClarifyGPT can significantly enhance code generation performance compared to the baselines. In particular, ClarifyGPT improves the average performance of GPT-4 and ChatGPT across five benchmarks from 62.43% to 69.60% and from 54.32% to 62.37%, respectively. A human evaluation also confirms the effectiveness of ClarifyGPT in detecting ambiguous requirements and generating high-quality clarifying questions. We believe that ClarifyGPT can effectively facilitate the practical application of LLMs in real-world development environments."",""Mu, Fangwen"; Shi, Lin; Wang, Song; Yu, Zhuohao; Zhang, Binquan; Wang, ChenXue; Liu, Shichao;" Wang, Qing"",2024,Proceedings of the ACM on Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"62,OptFuzz: Enhancing Compiler Testing via LLM-Powered Compilation Option Generation,""Compiler testing is crucial, as compilers serve as foundational infrastructure in software development. Effective compiler testing necessitates not only the generation of diverse test programs but also the systematic specification of compilation options. While existing research predominantly emphasizes test program diversification, it largely overlooks the strategic selection of compilation options required for comprehensive testing. Compilers typically offer a wide range of fine-grained compilation options that allow for precise control over the compilation process, resulting in a vast combination space. Exhaustive enumeration of all option combinations is computationally infeasible, while the stochastic generation of conflictfree, semantically meaningful options presents significant methodological challenges. To address these limitations, we propose OptFuzz, an innovative compiler testing framework that harnesses the generative capabilities of Large Language Models (LLMs) alongside the effectiveness of historical bug-triggering test programs for a comprehensive exploration of the compilation space. OptFuzz leverages LLMs to extract historical bug-triggering test programs from diverse bug reports, which are demonstrated to be effective in uncovering compiler bugs. Therefore, it overcomes the limitations of existing regex-based extraction techniques. Subsequently, OptFuzz employs a code abstraction extraction method based on intermediate representation (IR) to tackle the constraints of LLM context length limitations. Finally, the extracted IR is fed into LLM to generate effective compilation options for compiler testing. Through extensive experiments on GCC and LLVM, OptFuzz demonstrated superior bug detection capability compared to the random compilation space exploration method and other existing technologies. Notably, OptFuzz discovered 64 new bugs in GCC and LLVM, with 53 confirmed or fixed, highlighting our method’s practical utility. The experimental outcomes also indicate that the IR-based analysis substantially decreases overhead and improves bug detection compared to direct utilization of source code."",""Huang, Yifan"; Yang, Yibiao; Sun, Maolin; Wu, Jiangchang; Li, Qingyang; Lu, Zeyu;" Zhou, Yuming"",,ACM Transactions on Software Engineering and Methodology,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"63,Leveraging LLM to Strengthen ML-Based Cross-Site Scripting Detection,""According to the Open Web Application Security Project (OWASP), Cross-Site Scripting (XSS) is a critical security vulnerability. Despite decades of research, XSS remains among the top 10 security vulnerabilities. Researchers have proposed various techniques to protect systems from XSS attacks, with machine learning (ML) being one of the most widely used methods. An ML model is trained on a dataset to identify potential XSS threats, making its effectiveness highly dependent on the size and diversity of the training data.A variation of XSS is obfuscated XSS, where attackers apply obfuscation techniques to alter the code's structure, making it challenging for security systems to detect its malicious intent. Our study's random forest model trained on traditional (non-obfuscated) XSS data achieved 99.8% accuracy. However, when tested against obfuscated XSS samples, accuracy dropped to 81.9%, underscoring the importance of training ML models with obfuscated data to improve their effectiveness in detecting XSS attacks. A significant challenge is to generate highly complex obfuscated code despite the availability of several public tools. These tools can only produce obfuscation up to certain levels of complexity.In our proposed system, we fine-tune a Large Language Model (LLM) to generate complex obfuscated XSS payloads automatically. By transforming original XSS samples into diverse obfuscated variants, we create challenging training data for ML model evaluation. Our approach achieved a 99.5% accuracy rate with the obfuscated dataset. We also found that the obfuscated samples generated by the LLM were 28.1% more complex than those created by other tools, significantly improving the model's ability to handle advanced XSS attacks and making it more effective for real-world application security."",""Miczek, Dennis"; Gabbireddy, Divyesh;" Saha, Suman"",2025,Proceedings of the 2025 ACM Workshop on Wireless Security and Machine Learning,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"64,From Prompts to Properties: Rethinking LLM Code Generation with Property-Based Testing,""Large Language Models (LLMs) have shown promise in automated code generation, but ensuring correctness remains a significant challenge. Traditional unit testing evaluates functional correctness but often fails to capture deeper logical constraints. We apply Property-Based Testing (PBT) as an alternative evaluation strategy to StarCoder and CodeLlama on MBPP and HumanEval. Our results reveal that while pass@k evaluation shows moderate success, PBT exposes additional correctness gaps. A significant portion of generated solutions only partially adhere to correctness properties (30–32%), while 18–23% fail outright. Property extraction is also imperfect, with 9–13% of constraints missing. These findings highlight that unit test-based evaluations may overestimate solution correctness by not capturing fundamental logical errors. Our study demonstrates that combining unit testing with PBT can offer a more comprehensive assessment of generated code correctness, revealing limitations that traditional verification approaches miss."",""Bose, Dibyendu Brinto"",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"65,Exploring Large Language Models in Resolving Environment-Related Crash Bugs: Localizing and Repairing,""Software crash bugs cause unexpected program behaviors or even abrupt termination, thus demanding immediate resolution. However, resolving crash bugs can be challenging due to their complex root causes, which can originate from issues in the source code or external factors like third-party library dependencies. Large language models (LLMs) have shown promise in software engineering tasks, leveraging their extensive pre-training on text and code corpora. However, existing research predominantly focuses on the capability of LLMs to localize and repair code-related crash bugs, leaving their effectiveness in resolving environment-related crash bugs in real-world software unexplored.To fill this gap, we conducted the first comprehensive study to assess the capability of LLMs in resolving real-world environment-related crash bugs, using a newly constructed dataset of 100 representative crash bugs. We first systematically compare LLMs’ performance in resolving code-related and environment-related crash bugs with varying levels of crash contextual information. Our findings reveal that the LLM performs better in resolving code-related crash bugs compared to environment-related ones. Specifically, localization is the primary challenge for resolving code-related crashes, while repair poses a greater challenge for environment-related crashes. Furthermore, we investigate the impact of different prompt strategies on improving the resolution of environment-related crash bugs, incorporating different prompt templates and multi-round interactions. Building on this, we further explore an advanced active inquiry prompting strategy, which leverages the self-planning capabilities of LLMs to conduct systematic and continuous questioning aimed at identifying potential environmental factors that contribute to crashes. Based on these explorations, we propose IntDiagSolver, an interactive methodology designed to enable precise crash bug resolution through ongoing engagement with LLMs. Extensive evaluations of IntDiagSolver on a dataset of 41 crash bugs across multiple LLMs (including GPT-3.5, GPT-4, Claude, CodeLlama, DeepSeek-R1, and Qwen-3-Coder) demonstrate consistent improvements in resolution accuracy, with substantial enhancements ranging from 9.1% to 43.3% in localization and 9.1% to 53.3% in repair. Furthermore, the strong performance of IntDiagSolver on the latest expanded multilingual dataset of 42 crash bugs highlights its strong generalizability and effectiveness on previously unseen data."",""Du, Xueying"; Liu, Mingwei; Wang, Hanlin; Li, Juntao; Peng, Xin;" Lou, Yiling"",,ACM Transactions on Software Engineering and Methodology,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"66,Bridging Gaps in LLM Code Translation: Reducing Errors with Call Graphs and Bridged Debuggers,""When using large language models (LLMs) for code translation of complex software, numerous compilation and runtime errors can occur due to insufficient context awareness. To address this issue, this paper presents a code translation method based on call graphs and bridged debuggers: TransGraph. TransGraph first obtains the call graph of the entire code project using the Language Server Protocol, which provides a detailed description of the function call relationships in the program. Through this structured view of the code, LLMs can more effectively handle large-scale and complex codebases, significantly reducing compilation errors. Furthermore, TransGraph, combined with bridged debuggers and dynamic test case generation, significantly reduces runtime errors, overcoming the limitations of insufficient test case coverage in traditional methods. In experiments on six datasets including CodeNet and Avatar, TransGraph outperformed existing code translation methods and LLMs in terms of translation accuracy, with improvements of up to 10.2%."",""Luo, Yang"; Yu, Richard; Zhang, Fajun; Liang, Ling;" Xiong, Yongqiang"",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"67,How far have we been on the path of LLM-enhanced vulnerability detection,""Large Language Models(LLMs) have been proposed and deployed for several years. With the rapid development of LLMs, security researchers explores its effectiveness in vulnerability detection. In this paper, we summarize all the papers involving LLM-enhanced vulnerability detection crossing Top-tier software engineering/security conferences/journals, such as USENIX Security, NDSS, ACM CCS and IEEE S&P from security areas, ICSE, FSE and ASE from software engineering, which include nearly 50 papers to discuss how far have we been on the path of LLM-enhanced vulnerability detection. Besides each work’s detailed content, we also discuss the limitations they suffer and the promising future research direction."",""Shen, Wuqiang"; Yang, Yi; Zhang, Xiaolu; Cui, Lei;" Wang, Yechao"",2025,Proceedings of the 2025 International Symposium on Artificial Intelligence and Computational Social Sciences,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"68,Bias Testing and Mitigation in LLM-based Code Generation,""As the adoption of LLMs becomes more widespread in software coding ecosystems, a pressing issue has emerged: does the generated code contain social bias and unfairness, such as those related to age, gender, and race? This issue concerns the integrity, fairness, and ethical foundation of software applications that depend on the code generated by these models but are underexplored in the literature. This article presents a novel bias testing framework that is specifically designed for code generation tasks. Based on this framework, we conduct an extensive empirical study on the biases in code generated by five widely studied LLMs (i.e., PALM-2-CodeChat-bison, Claude-instant-1, GPT-3.5-turbo, GPT-4-turbo, and GPT-4). Our findings reveal that biases are prevalent. For example, 13.47% to 49.10% of the codes generated by these LLMs have biased behaviors towards gender. Moreover, we study five bias mitigation prompt strategies that are commonly used in current code generation scenarios, i.e., zero-shot, one-shot, few-shot, and two Chain-of-Thought (CoT) prompts, with and without provided feedback-driven refinement. Our evaluation results illustrate that using direct prompt engineering strategies has limited effectiveness in mitigating bias, but our test execution feedback can help to reduce the ratio of code biases to a large extent (e.g., from 59.88% to 4.79% for GPT-4)."",""Huang, Dong"; M. Zhang, Jie; Bu, Qingwen; Xie, Xiaofei; Chen, Junjie;" Cui, Heming"",2025,ACM Transactions on Software Engineering and Methodology,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"69,Demystifying LLM-Based Software Engineering Agents,""Recent advancements in large language models (LLMs) have significantly advanced the automation of software development tasks, including code synthesis, program repair, and test generation. More recently, researchers and industry practitioners have developed various autonomous LLM agents to perform end-to-end software development tasks. These agents are equipped with the ability to use tools, run commands, observe feedback from the environment, and plan for future actions. However, the complexity of these agent-based approaches, together with the limited abilities of current LLMs, raises the following question: Do we really have to employ complex autonomous software agents? To attempt to answer this question, we build Agentless – an agentless approach to automatically resolve software development issues. Compared to the verbose and complex setup of agent-based approaches, Agentless employs a simplistic three-phase process of localization, repair, and patch validation, without letting the LLM decide future actions or operate with complex tools. Our results on the popular SWE-bench Lite benchmark show that surprisingly the simplistic Agentless is able to achieve both the highest performance (32.00%, 96 correct fixes) and low cost ($0.70) compared with all existing open-source software agents at the time of paper submission! Agentless also achieves more than 50% solve rate when using Claude 3.5 Sonnet on the new SWE-bench Verified benchmark. In fact, Agentless has already been adopted by OpenAI as the go-to approach to showcase the real-world coding performance of both GPT-4o and the new o1 models";" more recently, Agentless has also been used by DeepSeek to evaluate their newest DeepSeek V3 and R1 models. Furthermore, we manually classified the problems in SWE-bench Lite and found problems with exact ground truth patches or insufficient/misleading issue descriptions. As such, we construct SWE-bench Lite-𝑆 by excluding such problematic issues to perform more rigorous evaluation and comparison. Our work highlights the currently overlooked potential of a simplistic, cost-effective technique in autonomous software development. We hope Agentless will help reset the baseline, starting point, and horizon for autonomous software agents, and inspire future work along this crucial direction. We have open-sourced Agentless at: https://github.com/OpenAutoCoder/Agentless"",""Xia, Chunqiu Steven"; Deng, Yinlin; Dunn, Soren;" Zhang, Lingming"",2025,Proceedings of the ACM on Software Engineering,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"70,AgoneTest: Automated creation and assessment of Unit tests leveraging Large Language Models,""Software correctness is crucial, with unit testing playing an indispensable role in the software development lifecycle. However, creating unit tests is time-consuming and costly, underlining the need for automation. Leveraging Large Language Models (LLMs) for unit test generation is a promising solution, but existing studies focus on simple, small-scale scenarios, leaving a gap in understanding LLMs' performance in real-world applications, particularly regarding integration and assessment efficacy at scale. Here, we present AgoneTest, a system focused on automatically generating and evaluating complex class-level test suites. Our contributions include a scalable automated system, a newly developed dataset for rigorous evaluation, and a detailed methodology for test quality assessment."",""Lops, Andrea"; Narducci, Fedelucio; Ragone, Azzurra;" Trizio, Michelantonio"",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"71,Large Language Models for EDA: Future or Mirage?,""In this article, we explore the burgeoning intersection of large language models (LLMs) and electronic design automation (EDA). We critically assess whether LLMs represent a transformative future for EDA or merely a fleeting mirage. By organizing existing research into four critical domains of EDA—code generation, verification and debugging, knowledge representation and retrieval, and optimization/modeling—we provide a comprehensive overview of the current state-of-the-art. The survey concludes with a 5-level roadmap to guide the progressive integration and advancement of LLMs in EDA. Ultimately, this article aims to provide a comprehensive, evidence-based perspective on the role of LLMs in shaping the future of EDA."",""He, Zhuolun"; Pu, Yuan; Wu, Haoyuan; Qiu, Tairu;" Yu, Bei"",2025,ACM Transactions on Design Automation of Electronic Systems,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"72,LLM-Powered Silent Bug Fuzzing in Deep Learning Libraries via Versatile and Controlled Bug Transfer,""Deep learning (DL) libraries are widely used in critical applications, where even subtle silent bugs can lead to serious consequences. While existing DL fuzzing techniques have made progress in detecting crashes, they inherently struggle to detect silent bugs due to the lack of effective test programs and corresponding oracles.Building on the observation that historical bug reports contain rich, underutilized information about silent bugs, we leverage large language models (LLMs) to perform versatile yet controlled bug transfer for silent bug fuzzing. Specifically, our approach uses LLMs to extract context-aware bug patterns from historical issues, match semantically related Application Programming Interfaces (APIs) using functionality-based embeddings, and synthesize test cases with customized oracles. This enables proactive detection of silent bugs by transferring high-risk contexts and oracle designs from known buggy APIs to functionally similar target APIs. To ensure the reliability of our context-aware bug transfer, we introduce an LLM-powered self-validation module that systematically evaluates the validity of each transferred bug instance. We implement this methodology in a tool named TransFuzz and evaluate it on three mainstream DL libraries: PyTorch, TensorFlow, and MindSpore. TransFuzz successfully discovers 79 previously unknown bugs (12 confirmed as Common Vulnerabilities and Exposures (CVEs)) in 10 bug types, demonstrating its effectiveness and generalizability in migrating DL library bug discovery capabilities."",""Zhang, Kunpeng"; Xiao, Dongwei; Wu, Daoyuan; Wang, Shuai; Zhao, Jiali; Lin, Yuanyi; Xu, Tongtong;" Wang, Shaohua"",2026,Proceedings of the ACM on Programming Languages,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"73,Doc2OracLL: Investigating the Impact of Documentation on LLM-Based Test Oracle Generation,""Code documentation is a critical artifact of software development, bridging human understanding and machine- readable code. Beyond aiding developers in code comprehension and maintenance, documentation also plays a critical role in automating various software engineering tasks, such as test oracle generation (TOG). In Java, Javadoc comments offer structured, natural language documentation embedded directly within the source code, typically describing functionality, usage, parameters, return values, and exceptional behavior. While prior research has explored the use of Javadoc comments in TOG alongside other information, such as the method under test (MUT), their potential as a stand-alone input source, the most relevant Javadoc components, and guidelines for writing effective Javadoc comments for automating TOG remain less explored. In this study, we investigate the impact of Javadoc comments on TOG through a comprehensive analysis. We begin by fine-tuning 10 large language models using three different prompt pairs to assess the role of Javadoc comments alongside other contextual information. Next, we systematically analyze the impact of different Javadoc comment’s components on TOG. To evaluate the generalizability of Javadoc comments from various sources, we also generate them using the GPT-3.5 model. We perform a thorough bug detection study using Defects4J dataset to understand their role in real-world bug detection. Our results show that incorporating Javadoc comments improves the accuracy of test oracles in most cases, aligning closely with ground truth. We find that Javadoc comments alone can match or even outperform approaches that utilize the MUT implementation. Additionally, we identify that the description and the return tag are the most valuable components for TOG. Finally, our approach, when using only Javadoc comments, detects between 19% and 94% more real-world bugs in Defects4J than prior methods, establishing a new state-of-the-art. To further guide developers in writing effective documentation, we conduct a detailed qualitative study on when Javadoc comments are helpful or harmful for TOG."",""Hossain, Soneya Binta"; Taylor, Raygan;" Dwyer, Matthew"",2025,Proceedings of the ACM on Software Engineering,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"74,Automated Testing of COBOL to Java Transformation,""Recent advances in Large Language Model (LLM) based Generative AI techniques have made it feasible to translate enterprise-level code from legacy languages such as COBOL to modern languages such as Java or Python. While the results of LLM-based automatic transformation are encouraging, the resulting code cannot be trusted to correctly translate the original code, making manual validation of translated Java code from COBOL a necessary but time-consuming and labor-intensive process. In this paper, we share our experience of developing a testing framework for IBM Watsonx Code Assistant for Z (WCA4Z) [5], an industrial tool designed for COBOL to Java translation. The framework automates the process of testing the functional equivalence of the translated Java code against the original COBOL programs in an industry context. Our framework uses symbolic execution to generate unit tests for COBOL, mocking external calls and transforming them into JUnit tests to validate semantic equivalence with translated Java. The results not only help identify and repair any detected discrepancies but also provide feedback to improve the AI model."",""Hans, Sandeep"; Kumar, Atul; Yasue, Toshiaki; Ono, Kouichi; Krishnan, Saravanan; Sondhi, Devika; Satoh, Fumiko; Mitchell, Gerald; Kumar, Sachin;" Saha, Diptikalyan"",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"75,Large Language Models for Automated Web-Form-Test Generation: An Empirical Study,""Testing web forms is an essential activity for ensuring the quality of web applications. It typically involves evaluating the interactions between users and forms. Automated test-case generation remains a challenge for web-form testing: Due to the complex, multi-level structure of Web pages, it can be difficult to automatically capture their inherent contextual information for inclusion in the tests. Large Language Models (LLMs) have shown great potential for contextual text generation. This motivated us to explore how they could generate automated tests for web forms, making use of the contextual information within form elements. To the best of our knowledge, no comparative study examining different LLMs has yet been reported for web-form-test generation. To address this gap in the literature, we conducted a comprehensive empirical study investigating the effectiveness of 11 LLMs on 146 web forms from 30 open source Java web applications. In addition, we propose three HTML-structure-pruning methods to extract key contextual information. The experimental results show that different LLMs can achieve different testing effectiveness, with the GPT-4, GLM-4, and Baichuan2 LLMs generating the best web-form tests. Compared with GPT-4, the other LLMs had difficulty generating appropriate tests for the web forms: Their Successfully Submitted Rates (SSRs)—the proportions of the LLMs-generated web-form tests that could be successfully inserted into the web forms and submitted—decreased by 9.10% to 74.15%. Our findings also show that, for all LLMs, when the designed prompts include complete and clear contextual information about the web forms, more effective web-form tests were generated. Specifically, when using Parser-Processed HTML for Task Prompt (PH-P), the SSR averaged 70.63%, higher than the 60.21% for Raw HTML for Task Prompt (RH-P) and 50.27% for LLM-Processed HTML for Task Prompt (LH-P). With RH-P, GPT-4’s SSR was 98.86%, outperforming models like LLaMa2 (7B) with 34.47% and GLM-4V with 0%. Similarly, with PH-P, GPT-4 reached an SSR of 99.54%, the highest among all models and prompt types. Finally, this article also highlights strategies for selecting LLMs based on performance metrics, and for optimizing the prompt design to improve the quality of the web-form tests."",""Li, Tao"; Cui, Chenhui; Huang, Rubing; Towey, Dave;" Ma, Lei"",2026,ACM Transactions on Software Engineering and Methodology,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"76,Code LLMs Still Fall Short of Top Programmers: Evaluating Algorithmic Code Generation Through Computational Thinking,""Evaluating the coding capabilities of models through algorithmic code generation is challenging, as it requires deep problem understanding and complex algorithm design. Current benchmarks suffer from a narrow focus on final execution results (such as pass@k), neglecting the crucial reasoning and problem-solving processes inherent in code generation. To address this limitation, we introduce a multi-phase algorithmic code generation benchmark, MUPA, structured around human computational thinking. MUPA dissects the evaluation into four distinct phases: example understanding, algorithm selection, solution description, and code generation. This framework facilitates a comprehensive assessment by providing insights into the model's intermediate problem-solving steps, rather than just the final code. We manually curated 197 high-quality competitive programming problems from Codeforces. Utilizing an LLM-as-a-judge paradigm with specialized prompts, our rigorous evaluation of several existing code generation LLMs reveals significant across-the-board challenges. Notably, we establish a positive correlation, indicating that proficiency in an earlier phase directly impacts performance in subsequent phases, underscoring the interdependency of these algorithmic skills. The benchmark is publicly available at https://github.com/cheniison/MUPA."",""Chen, Shisong"; Zhou, Ziyu; Zhao, Yicong; Yang, Chengyi; Li, Zhixu; Xiao, Yanghua; Lin, Xin; Meng, Xiaojun; Wei, Jiansheng;" Liu, Kuien"",2026,Proceedings of the Nineteenth ACM International Conference on Web Search and Data Mining,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"77,A Survey on Feedback Types in Automated Programming Assessment Systems,""With the recent rapid increase in digitization across all major industries, acquiring programming skills has increased the demand for introductory programming courses. This has further resulted in universities integrating programming courses into a wide range of curricula, including not only technical studies but also business and management fields of study. Consequently, additional resources are needed for teaching, grading, and tutoring students with diverse educational backgrounds and skills. As part of this, Automated Programming Assessment Systems (APASs) have emerged, providing scalable and high-quality assessment systems with efficient evaluation and instant feedback. Commonly, APASs heavily rely on predefined unit tests for generating feedback, which often limits the scope and level of detail of feedback that can be provided to students. With the rise of Large Language Models (LLMs) in recent years, new opportunities have emerged as these technologies can enhance feedback quality and personalization. To investigate how different feedback mechanisms in APASs are perceived by students, and how effective they are in supporting problem-solving, we have conducted a large-scale study with over 200 students from 2 different universities. Specifically, we compare baseline Compiler Feedback, standard Unit Test Feedback, and advanced LLM-based Feedback regarding perceived quality and impact on student performance. Results indicate that while students rate Unit Test Feedback as the most helpful, AI-generated feedback leads to significantly better performances. These findings suggest combining unit tests and AI-driven guidance to optimize automated feedback mechanisms and improve learning outcomes in programming education."",""Frankford, Eduard"; Antensteiner, Tobias; Vierhauser, Michael; Sauerwein, Clemens; Wallner, Vivien; Groher, Iris; Plösch, Reinhold;" Breu, Ruth"",2025,ACM Transactions on Computing Education,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
